target,train_n,val_n,test_n,positive_rate_train,rf_val_roc_auc,rf_val_pr_auc,xgb_val_roc_auc,xgb_val_pr_auc,blend_val_roc_auc,blend_val_pr_auc,selected_model,selected_threshold,blend_weight_rf,blend_weight_xgb,test_roc_auc,test_pr_auc,test_f1,test_precision,test_recall
NR-AR-LBD,5256,1030,465,0.03671993911719939,0.778152639737394,0.42394612367612333,0.8165101364700161,0.4435061243675362,0.8103401112428195,0.4631492081428975,blend,0.44,0.55,0.44999999999999996,0.896075290348418,0.4871530567226253,0.3076923076923077,1.0,0.18181818181818182
SR-ATAD5,5436,1130,499,0.02704194260485651,0.8378681239032578,0.34755904022974676,0.8243066681925689,0.34141841134968204,0.8428845273517968,0.35681840752617855,blend,0.14,0.75,0.25,0.7889807162534435,0.4642114652655348,0.3333333333333333,0.25925925925925924,0.4666666666666667
SR-ARE,4586,902,337,0.13519406890536415,0.7447055214723927,0.5292954305311504,0.7514171779141104,0.536634679326782,0.7571349693251533,0.5492555844144822,blend,0.17,0.45,0.55,0.7022012578616352,0.4498418579413797,0.4541832669322709,0.31843575418994413,0.7916666666666666
NR-AhR,5036,1005,501,0.09590945194598888,0.8339047890361898,0.6651457900993872,0.828868517708344,0.659797031374669,0.8398313103462309,0.6786781996939739,blend,0.21000000000000002,0.7000000000000001,0.29999999999999993,0.833315134308801,0.38168661475053695,0.4,0.4375,0.3684210526315789
SR-MMP,4550,822,432,0.12527472527472527,0.8738920836059365,0.7856247992421785,0.8622878000068868,0.7862312358541482,0.8742501979959368,0.7943182292730628,blend,0.44,0.6000000000000001,0.3999999999999999,0.6532822016692985,0.3731850045289439,0.2556390977443609,0.40476190476190477,0.18681318681318682
NR-Aromatase,4595,790,430,0.04047878128400435,0.7813318175554638,0.41511229866041555,0.7611788617886178,0.3934061121546034,0.787446603279592,0.4255458762835345,blend,0.23,0.9,0.09999999999999998,0.7122330402010051,0.3222223359626694,0.3191489361702128,0.24193548387096775,0.46875
SR-p53,5253,1049,465,0.05139920045688178,0.7651624348597404,0.30442135334200465,0.7726466348819159,0.3360666645991306,0.7726466348819159,0.3360666645991306,xgboost,0.05,0.0,1.0,0.7880146501641829,0.29285005948181764,0.25806451612903225,0.1839080459770115,0.43243243243243246
NR-PPAR-gamma,5046,962,435,0.022988505747126436,0.688059527961865,0.11474701210226557,0.6841530054644809,0.13774954493002492,0.6841530054644809,0.13774954493002492,xgboost,0.21000000000000002,0.0,1.0,0.7437209793161672,0.28405186223607104,0.24242424242424243,0.4,0.17391304347826086
SR-HSE,5048,1041,371,0.050316957210776544,0.7504819393238392,0.2672043742596699,0.7302886816549796,0.266848918481746,0.7407829104315767,0.28262931379834305,blend,0.27,0.5,0.5,0.6668406072106261,0.20008793228045327,0.19047619047619047,0.13513513513513514,0.3225806451612903
NR-ER,4834,928,424,0.112122465866777,0.7992696996972425,0.5881223666385514,0.7615818400021821,0.5682015708086798,0.7932963750920545,0.5946009555979533,blend,0.35000000000000003,0.8,0.19999999999999996,0.5744398668096393,0.17029417042840878,0.09230769230769231,0.16666666666666666,0.06382978723404255
NR-AR,5524,1175,559,0.04344677769732078,0.7507681633462187,0.4324516428428119,0.7005649717514124,0.3956253527407469,0.7503882115835728,0.4347344832683361,blend,0.22,0.9500000000000001,0.04999999999999993,0.7406290956749672,0.06602902922002551,0.0,0.0,0.0
NR-ER-LBD,5355,1087,506,0.043137254901960784,0.8617890136518034,0.5605085889891239,0.8322678003504901,0.551693066082195,0.8564451223469851,0.5758819224946989,blend,0.35000000000000003,0.6000000000000001,0.3999999999999999,0.6133056133056134,0.06351922682978157,0.0,0.0,0.0
